entry,R1-,R2,organocatalyst,organocatalyst(mol%),solvent,under,temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),yield
3,[*]C1=CC(OCO2)=C2C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15,CH3CN,air,80,48,0,0,0
4,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,CH3CN,air,23,48,0,0,32
5,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,23,48,0,0,46
6,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=C(OC)C=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,23,48,0,0,36
7,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=C(F)C=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,23,48,0,0,44
8,[*]C1=CC=CC=C1,C,O=C1C=CC2=CC=CC=C2C1=O,10,CH3CN,air,23,48,0,0,11
9,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=C(OC)C=C3C1=O,10,CH3CN,air,23,48,0,0,40
10,[*]C1=CC=CC=C1,C,O=C1C(C)=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,23,48,0,0,21
11,[*]C1=CC=CC=C1,C,O=C1C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4C1=O,10,CH3CN,air,23,48,0,0,8
12,[*]C1=CC=CC=C1,C,O=C1C(CCC)=C(CCC)C2=CC=CC=C2C1=O,10,CH3CN,air,23,48,0,0,17
13,[*]C1=CC=CC=C1,C,O=C1C=C(CCCCC)C2=CC=CC=C2C1=O,10,CH3CN,air,23,48,0,0,37
14,[*]C1=CC=CC=C1,C,O=C1C=C(OC)C2=CC=CC=C2C1=O,10,CH3CN,air,23,48,0,0,21
15,[*]C1=CC=CC=C1,C,,10,THF,air,23,48,0,0,44
16,[*]C1=CC=CC=C1,C,,10,PhCH3,air,23,48,0,0,54
17,[*]C1=CC=CC=C1,C,,10,CH2Cl2,air,23,48,0,0,45
18,[*]C1=CC=CC=C1,C,,10,EtOH,air,23,48,0,0,36
19,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,60,48,0,0,21
20,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,80,48,0,0,7
21,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15,CH3CN,air,80,48,0,0,0
22,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15,CH3CN,O2,80,48,0,0,2
23,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15,CH3CN,Ar,80,48,0,0,4
24,[*]C1=CC=CC=C1,C,O=C1C=CC(C=C1C(C)(C)C)=O,15,CH3CN,air,80,48,0,0,14
,,,,,,,,,,,
3d,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,24,0,0,86
3e,[*]C1=CC=C(C)C=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,24,0,0,67
3f,[*]C1=CC=C(OC)C=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,24,0,0,69
3g,[*]C1=CC=C(F)C=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,24,0,0,88
3h,[*]C1=CC=C(Cl)C=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,24,0,0,80
3i,[*]C1=CC=C(Br)C=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,24,0,0,84
3j,[*]C1=CC=CC(Cl)=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,24,0,0,79
3k,[*]C1=CC=CC(Br)=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,24,0,0,82
3l,[*]C1=CC=C(Cl)C(Cl)=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,24,0,0,90
3m,[*]C1=CC=C([N+]([O-])=O)C=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,24,0,0,65
3n,[*]C1=CC=C(C(OC)=O)C=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,24,0,0,80
3o,[*]C1=CC(OCO2)=C2C=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,24,0,0,76
3q,[*]C1=CC=CS1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,24,0,0,89
3r,[*]C1=CC=CC=C1,Ph,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,60,24,0,0,68
,,,,,,,,,,,
1,,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,48,0,0,68
2,,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,THF,air,rt,48,0,0,48
3,,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,EtOH,air,rt,48,0,0,45
4,,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,toluene,air,rt,48,0,0,66
5,,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,60,48,0,0,64
6,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,15,CH3CN,air,rt,36,0,0,94
7,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,48,20,0,58
15,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,16,0,20,97
16,[*]C1=CC=CC=C1,C,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,CH3CN,air,rt,16,0,10,89
