,organocatalyst(mol%),temp(℃),time(h),266_R1-,324_R1-,85_organocatalyst,93_organocatalyst,132_organocatalyst,138_organocatalyst,150_organocatalyst,160_organocatalyst,246_organocatalyst,258_organocatalyst,266_organocatalyst,286_organocatalyst,365_organocatalyst,370_organocatalyst,372_organocatalyst,378_organocatalyst,380_organocatalyst,386_organocatalyst,SLogPR1-,ATS1sorganocatalyst,AATS0porganocatalyst,AATSC0iorganocatalyst,GATS4sorganocatalyst,BalabanJorganocatalyst
102,10.0,23,24.0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.7694,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
103,10.0,23,24.0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.6478,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
104,10.0,23,24.0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.5898999999999999,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
105,10.0,23,24.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.9227,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
106,15.0,23,36.0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0.8612,105.22222222222224,1.798390608874643,1.342603623521453,0.936821400472069,1.7466847483464147
107,10.0,23,48.0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0.4542,92.6388888888889,1.3868604524245003,1.3078663358807436,0.5527900569503418,2.7272197636045337
108,10.0,23,48.0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1.0003,92.6388888888889,1.3868604524245003,1.3078663358807436,0.5527900569503418,2.7272197636045337
109,10.0,23,48.0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1.5146,92.6388888888889,1.3868604524245003,1.3078663358807436,0.5527900569503418,2.7272197636045337
110,10.0,23,72.0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1.6237,92.6388888888889,1.3868604524245003,1.3078663358807436,0.5527900569503418,2.7272197636045337
111,10.0,23,48.0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0.7694,92.6388888888889,1.3868604524245003,1.3078663358807436,0.5527900569503418,2.7272197636045337
112,10.0,23,48.0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1.16962,92.6388888888889,1.3868604524245003,1.3078663358807436,0.5527900569503418,2.7272197636045337
113,10.0,23,48.0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0.8697999999999999,92.6388888888889,1.3868604524245003,1.3078663358807436,0.5527900569503418,2.7272197636045337
114,10.0,23,48.0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1.5146,92.6388888888889,1.3868604524245003,1.3078663358807436,0.5527900569503418,2.7272197636045337
115,10.0,23,72.0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1.5146,92.6388888888889,1.3868604524245003,1.3078663358807436,0.5527900569503418,2.7272197636045337
116,10.0,23,72.0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1.6237,92.6388888888889,1.3868604524245003,1.3078663358807436,0.5527900569503418,2.7272197636045337
117,10.0,23,48.0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0.8697999999999999,92.6388888888889,1.3868604524245003,1.3078663358807436,0.5527900569503418,2.7272197636045337
118,10.0,23,72.0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1.47804,92.6388888888889,1.3868604524245003,1.3078663358807436,0.5527900569503418,2.7272197636045337
119,10.0,60,48.0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0.9227,92.6388888888889,1.3868604524245003,1.3078663358807436,0.5527900569503418,2.7272197636045337
120,10.0,23,12.0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0.8612,92.6388888888889,1.3868604524245003,1.3078663358807436,0.5527900569503418,2.7272197636045337
