,R1-,organocatalyst,organocatalyst(mol%),temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),収率(%),R2_C,R2_H,R2_Ph,under_Ar,under_O2,under_air
122,CC1=CC=C(C(C)(C)C)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,88.0,0,1,0,0,1,0
123,CC1=CC=C(Cl)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,85.0,0,1,0,0,1,0
124,CC1=CC=C(C(F)(F)F)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,68.0,0,1,0,0,1,0
125,CC1=C(C=CC=C2)C2=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,87.0,0,1,0,0,1,0
126,CC1=CC=CO1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,37.0,0,1,0,0,1,0
127,CC1=NC=CC=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,9.0,0,1,0,0,1,0
128,CC1=CC=CS1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,84.0,0,1,0,0,1,0
129,CC1=CC=CC=C1,-,0.0,23,6.0,0.0,0.0,6.0,0,1,0,0,1,0
130,CC1=CC=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,86.0,0,1,0,0,1,0
131,CC1=C(C)C=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,39.0,0,1,0,0,1,0
132,CC1=CC=C(C)C=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,88.0,0,1,0,0,1,0
133,CC1=C(OC)C=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,83.0,0,1,0,0,1,0
134,CC1=CC(OC)=CC=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,83.0,0,1,0,0,1,0
135,CC1=CC=C(OC)C=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,86.0,0,1,0,0,1,0
136,CC1=CC=C(C(C)(C)C)C=C1,OC1=CC(O)=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,87.0,0,1,0,0,1,0
137,CC1=CC=CC=C1,-,5.0,90,24.0,0.0,0.0,0.0,0,1,0,0,1,0
138,CC1=CC=CC=C1,OC1=CC=CC=C1,5.0,90,24.0,0.0,0.0,7.0,0,1,0,0,1,0
139,CC1=CC=CC=C1,O=C(C1=CC=CC=C1)O,5.0,90,24.0,0.0,0.0,32.0,0,1,0,0,1,0
140,CC1=CC=CC=C1,OC1=C(C(O)=O)C=CC=C1,5.0,90,24.0,0.0,0.0,80.0,0,1,0,0,1,0
141,CC1=CC=CC=C1,O=C(C1=C(OC)C=CC=C1)O,5.0,90,24.0,0.0,0.0,6.0,0,1,0,0,1,0
142,CC1=CC=CC=C1,OC1=C(C(OC)=O)C=CC=C1,5.0,90,24.0,0.0,0.0,11.0,0,1,0,0,1,0
143,CC1=CC=CC=C1,OC1=C(CC(O)=O)C=CC=C1,5.0,90,24.0,0.0,0.0,32.0,0,1,0,0,1,0
144,CC1=CC=CC=C1,CC(O)=O,5.0,90,24.0,0.0,0.0,3.0,0,1,0,0,1,0
145,CC1=CC=CC=C1,CC1=CC=C(S(=O)(O)=O)C=C1,5.0,90,24.0,0.0,0.0,0.0,0,1,0,0,1,0
146,CC1=CC=C(CO)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,50.0,0,1,0,0,1,0
147,CC1=CC=C(C(O)C)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,40.0,0,1,0,0,1,0
148,CC1=CC=C(O)C=C1,OC1=CC(OC)=CC(OC)=C1C(O)=O,5.0,90,6.0,0.0,0.0,0.0,0,1,0,0,1,0
149,CC1=CC=CC=C1,OC1=CC(O)=CC=C1C(O)=O,5.0,90,2.0,0.0,0.0,4.0,0,1,0,0,1,0
150,CC1=CC=CC=C1,OC1=CC=CC(O)=C1C(O)=O,5.0,90,2.0,0.0,0.0,6.0,0,1,0,0,1,0
151,CC1=CC=CC=C1,OC1=CC=CC=C1C(O)=O,5.0,90,2.0,0.0,0.0,3.0,0,1,0,0,1,0
152,CC1=CC=CC=C1,OC1=CC=C(C(O)=O)C=C1,5.0,90,2.0,0.0,0.0,3.0,0,1,0,0,1,0
