entry,R1-,R2,organocatalyst,organocatalyst(mol%),under,temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),収率(%)
2b,CC1=CC=C(F)C=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,rt,48,0,0,80
2c,CC1=CC=C(Cl)C=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,rt,48,0,0,97
2d,CC1=CC=C(Br)C=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,rt,72,0,0,98
2e,,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,rt,48,0,0,99
2f,CC1=CC=C(C)C=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,rt,48,0,0,75
2g,CC1=CC=C(OC)C=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,rt,48,0,0,95
2h,CC1=CC(Cl)=CC=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,rt,48,0,0,95
2h-c,CC1=CC(Cl)=CC=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,rt,72,0,0,81
2i,CC1=CC(Br)=CC=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,rt,72,0,0,95
2j,CC1=CC=CC(OC)=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,rt,48,0,0,89
2k,CC1=CC(C)=C(C)C=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,rt,72,0,0,99
2l,CC1=CC=CC=C1,Ph,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,60,48,0,0,96
2l-c,CC1=CC=CC=C1,Ph,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,60,72,0,0,92
2m,CC1=CSC=C1,C,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,60,48,0,0,83
2n,,,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,60,48,0,0,53
2o,,,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,60,48,0,0,25
2p,CC1=CC=CC=C1,H,O=C1C(C=C(OC)C(C(C)(C)C)=C1)=O,10,O2,rt,12,0,0,99
,,,,,,,,,,
1,CC1=CC=CC=C1,H,ClC1=CC=C(C(O)=O)C(O)=C1,5,O2,90,24,0,0,81
2,CC1=CC=CC=C1,H,ClC1=CC=C(C(O)=O)C(O)=C1,5,O2,90,12,0,0,14
