,SMILES
375,N#CCC(=O)Nc1ccc(C(=O)O)cc1
376,COc1ccc(CC(C#N)C(=O)Nc2cccc(C)c2C)cc1
377,COc1cccc(CC(C#N)C(=O)Nc2ccc(C)cc2C)c1
378,COc1cccc(CC(C#N)C(=O)Nc2cc(C)cc(C)c2)c1
379,COc1cccc(CC(C#N)C(=O)Nc2ccc(C)c(C)c2)c1
380,COc1ccc(CC(C#N)C(=O)Nc2cc(C)cc(C)c2)c(OC)c1
381,COc1ccc(CC(C#N)C(=O)Nc2ccc(C)c(C)c2)c(OC)c1
382,COc1ccc(CC(C#N)C(=O)Nc2ccc(C)cc2C)c(OC)c1
383,COc1ccc(OC)c(CC(C#N)C(=O)Nc2ccc(C)c(C)c2)c1
384,COc1ccc(OC)c(CC(C#N)C(=O)Nc2cc(C)ccc2C)c1
385,COc1ccc(OC)c(CC(C#N)C(=O)Nc2cc(C)cc(C)c2)c1
