,yield,R2_C,under_O2,solvent_CH3CN,solvent_toluene,organocatalyst(mol%),temp(℃),time(h),389_R1-,891_R1-,1057_R1-,1199_R1-,1625_R1-,1858_R1-,1_organocatalyst,84_organocatalyst,114_organocatalyst,314_organocatalyst,322_organocatalyst,389_organocatalyst,456_organocatalyst,586_organocatalyst,695_organocatalyst,728_organocatalyst,736_organocatalyst,745_organocatalyst,781_organocatalyst,807_organocatalyst,875_organocatalyst,1057_organocatalyst,1088_organocatalyst,1160_organocatalyst,1199_organocatalyst,1416_organocatalyst,1476_organocatalyst,1602_organocatalyst,1607_organocatalyst,1750_organocatalyst,1917_organocatalyst
98,84.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
99,79.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
100,82.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
101,90.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
102,65.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
103,80.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
104,76.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
105,89.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
106,94.0,1,0,1,0,2.0922225525934945,-0.935601812799328,0.4578285562299093,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0
107,99.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108,80.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
109,97.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110,98.0,1,1,1,0,0.7463483959544044,-0.935601812799328,2.346371350678285,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111,99.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
112,75.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
113,95.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
114,95.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
115,81.0,1,1,1,0,0.7463483959544044,-0.935601812799328,2.346371350678285,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116,95.0,1,1,1,0,0.7463483959544044,-0.935601812799328,2.346371350678285,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117,89.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118,99.0,1,1,1,0,0.7463483959544044,-0.935601812799328,2.346371350678285,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
