,yield,organocatalyst(mol%),temp(℃),time(h),266_R1-,324_R1-,85_organocatalyst,93_organocatalyst,132_organocatalyst,138_organocatalyst,150_organocatalyst,160_organocatalyst,246_organocatalyst,258_organocatalyst,266_organocatalyst,286_organocatalyst,365_organocatalyst,370_organocatalyst,372_organocatalyst,378_organocatalyst,380_organocatalyst,386_organocatalyst
95,69.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
96,88.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
97,80.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
98,84.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
99,79.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
100,82.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
101,90.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
102,65.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
103,80.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
104,76.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
105,89.0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
106,94.0,2.0922225525934945,-0.935601812799328,0.4578285562299093,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
107,99.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
108,80.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
109,97.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
110,98.0,0.7463483959544044,-0.935601812799328,2.346371350678285,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
111,99.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
112,75.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
113,95.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
114,95.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
115,81.0,0.7463483959544044,-0.935601812799328,2.346371350678285,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
116,95.0,0.7463483959544044,-0.935601812799328,2.346371350678285,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
117,89.0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
118,99.0,0.7463483959544044,-0.935601812799328,2.346371350678285,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
119,83.0,0.7463483959544044,0.1998520543469425,1.0873428210460347,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
120,99.0,0.7463483959544044,-0.935601812799328,-0.8011999734023415,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
