,yield,R2_C,under_O2,solvent_CH3CN,solvent_toluene,organocatalyst(mol%),temp(℃),time(h),598_R1-,2040_R1-,1_organocatalyst,3_organocatalyst,224_organocatalyst,232_organocatalyst,321_organocatalyst,380_organocatalyst,428_organocatalyst,488_organocatalyst,598_organocatalyst,808_organocatalyst,823_organocatalyst,857_organocatalyst,1077_organocatalyst,1085_organocatalyst,1219_organocatalyst,1731_organocatalyst,2017_organocatalyst,2040_organocatalyst
76,0.0,0,0,1,0,2.0922225525934945,0.8136109014530347,1.0873428210460347,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
77,32.0,1,0,1,0,-0.5995257606846857,-0.935601812799328,1.0873428210460347,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
78,46.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
79,36.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1
80,44.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
81,11.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1
82,40.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1
83,21.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1
84,8.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1
85,17.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1
86,37.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
87,21.0,1,0,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1
88,21.0,1,0,1,0,0.7463483959544044,0.1998520543469425,1.0873428210460347,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
89,7.0,1,0,1,0,0.7463483959544044,0.8136109014530347,1.0873428210460347,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
90,0.0,1,0,1,0,2.0922225525934945,0.8136109014530347,1.0873428210460347,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
91,2.0,1,1,1,0,2.0922225525934945,0.8136109014530347,1.0873428210460347,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
92,14.0,1,0,1,0,2.0922225525934945,0.8136109014530347,1.0873428210460347,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
93,86.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
94,67.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
95,69.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
96,88.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
97,80.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
98,84.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
99,79.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
100,82.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
101,90.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
102,65.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
103,80.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
104,76.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
105,89.0,1,0,1,0,0.7463483959544044,-0.935601812799328,-0.171685708586216,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
106,94.0,1,0,1,0,2.0922225525934945,-0.935601812799328,0.4578285562299093,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
107,99.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
108,80.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
109,97.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
110,98.0,1,1,1,0,0.7463483959544044,-0.935601812799328,2.346371350678285,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
111,99.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
112,75.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
113,95.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
114,95.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
115,81.0,1,1,1,0,0.7463483959544044,-0.935601812799328,2.346371350678285,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
116,95.0,1,1,1,0,0.7463483959544044,-0.935601812799328,2.346371350678285,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
117,89.0,1,1,1,0,0.7463483959544044,-0.935601812799328,1.0873428210460347,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
118,99.0,1,1,1,0,0.7463483959544044,-0.935601812799328,2.346371350678285,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
119,83.0,1,1,1,0,0.7463483959544044,0.1998520543469425,1.0873428210460347,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
120,99.0,0,1,1,0,0.7463483959544044,-0.935601812799328,-0.8011999734023415,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
